# slave_1_address (ip:port), slave_2_address (ip:port), min_rtt (ns)
10.140.0.104:9103,10.140.0.120:9103,111840
10.140.0.102:9103,10.140.0.118:9103,111888
10.140.0.127:9103,10.140.0.120:9103,111903
10.140.0.102:9103,10.140.0.115:9103,112166
10.140.0.109:9103,10.140.0.116:9103,112168
10.140.0.107:9103,10.140.0.120:9103,112219
10.140.0.125:9103,10.140.0.120:9103,112702
10.140.0.126:9103,10.140.0.115:9103,113603
10.140.0.102:9103,10.140.0.116:9103,113696
10.140.0.106:9103,10.140.0.115:9103,113959
10.140.0.102:9103,10.140.0.117:9103,114049
10.140.0.107:9103,10.140.0.114:9103,114198
10.140.0.123:9103,10.140.0.116:9103,114255
10.140.0.108:9103,10.140.0.113:9103,114383
10.140.0.107:9103,10.140.0.117:9103,114406
10.140.0.120:9103,10.140.0.113:9103,114439
10.140.0.126:9103,10.140.0.114:9103,114585
10.140.0.130:9103,10.140.0.114:9103,115006
10.140.0.108:9103,10.140.0.119:9103,115076
10.140.0.105:9103,10.140.0.119:9103,115269
10.140.0.129:9103,10.140.0.114:9103,115510
10.140.0.108:9103,10.140.0.115:9103,115591
10.140.0.106:9103,10.140.0.118:9103,115604
10.140.0.122:9103,10.140.0.112:9103,115877
10.140.0.102:9103,10.140.0.114:9103,115997
10.140.0.126:9103,10.140.0.112:9103,116169
10.140.0.104:9103,10.140.0.114:9103,116242
10.140.0.109:9103,10.140.0.119:9103,116414
10.140.0.103:9103,10.140.0.117:9103,116550
10.140.0.109:9103,10.140.0.113:9103,116634
10.140.0.125:9103,10.140.0.113:9103,116892
10.140.0.123:9103,10.140.0.118:9103,117016
10.140.0.130:9103,10.140.0.118:9103,117157
10.140.0.127:9103,10.140.0.115:9103,117189
10.140.0.102:9103,10.140.0.120:9103,117218
10.140.0.128:9103,10.140.0.120:9103,117260
10.140.0.104:9103,10.140.0.112:9103,117281
10.140.0.104:9103,10.140.0.119:9103,117495
10.140.0.126:9103,10.140.0.116:9103,117905
10.140.0.128:9103,10.140.0.117:9103,117926
10.140.0.107:9103,10.140.0.118:9103,118330
10.140.0.125:9103,10.140.0.115:9103,118379
10.140.0.123:9103,10.140.0.117:9103,118697
10.140.0.124:9103,10.140.0.113:9103,118959
10.140.0.130:9103,10.140.0.119:9103,119139
10.140.0.126:9103,10.140.0.117:9103,119147
10.140.0.104:9103,10.140.0.113:9103,120020
10.140.0.125:9103,10.140.0.111:9103,120228
10.140.0.105:9103,10.140.0.112:9103,120858
10.140.0.109:9103,10.140.0.111:9103,121299
10.140.0.101:9103,10.140.0.118:9103,121458
10.140.0.129:9103,10.140.0.111:9103,121669
10.140.0.125:9103,10.140.0.112:9103,121687
10.140.0.120:9103,10.140.0.115:9103,121688
10.140.0.121:9103,10.140.0.118:9103,122293
10.140.0.128:9103,10.140.0.113:9103,122510
10.140.0.108:9103,10.140.0.116:9103,122572
10.140.0.126:9103,10.140.0.118:9103,123284
10.140.0.130:9103,10.140.0.116:9103,123494
10.140.0.121:9103,10.140.0.113:9103,123596
10.140.0.104:9103,10.140.0.111:9103,123643
10.140.0.101:9103,10.140.0.113:9103,123925
10.140.0.123:9103,10.140.0.111:9103,123955
10.140.0.103:9103,10.140.0.114:9103,124182
10.140.0.109:9103,10.140.0.120:9103,124301
10.140.0.102:9103,10.140.0.119:9103,124347
10.140.0.125:9103,10.140.0.118:9103,124534
10.140.0.129:9103,10.140.0.117:9103,124973
10.140.0.121:9103,10.140.0.114:9103,125028
10.140.0.127:9103,10.140.0.116:9103,125336
10.140.0.101:9103,10.140.0.112:9103,125353
10.140.0.122:9103,10.140.0.118:9103,125428
10.140.0.105:9103,10.140.0.116:9103,125641
10.140.0.121:9103,10.140.0.117:9103,125720
10.140.0.121:9103,10.140.0.119:9103,125835
10.140.0.109:9103,10.140.0.117:9103,126028
10.140.0.107:9103,10.140.0.111:9103,126147
10.140.0.124:9103,10.140.0.114:9103,126497
10.140.0.106:9103,10.140.0.120:9103,126529
10.140.0.124:9103,10.140.0.115:9103,126864
10.140.0.106:9103,10.140.0.114:9103,126877
10.140.0.105:9103,10.140.0.113:9103,127560
10.140.0.124:9103,10.140.0.120:9103,127799
10.140.0.124:9103,10.140.0.119:9103,127835
10.140.0.109:9103,10.140.0.115:9103,128089
10.140.0.107:9103,10.140.0.116:9103,128129
10.140.0.114:9103,10.140.0.122:9103,128333
10.140.0.121:9103,10.140.0.111:9103,128464
10.140.0.126:9103,10.140.0.119:9103,128550
10.140.0.124:9103,10.140.0.111:9103,128580
10.140.0.108:9103,10.140.0.118:9103,129015
10.140.0.103:9103,10.140.0.112:9103,129120
10.140.0.122:9103,10.140.0.113:9103,129201
10.140.0.127:9103,10.140.0.118:9103,129336
10.140.0.103:9103,10.140.0.116:9103,129736
10.140.0.125:9103,10.140.0.114:9103,130289
10.140.0.103:9103,10.140.0.113:9103,130579
10.140.0.124:9103,10.140.0.112:9103,130601
10.140.0.126:9103,10.140.0.120:9103,131309
10.140.0.124:9103,10.140.0.116:9103,131312
10.140.0.129:9103,10.140.0.116:9103,131627
10.140.0.121:9103,10.140.0.115:9103,131723
10.140.0.106:9103,10.140.0.113:9103,132004
10.140.0.102:9103,10.140.0.111:9103,132143
10.140.0.121:9103,10.140.0.116:9103,132457
10.140.0.101:9103,10.140.0.115:9103,133081
10.140.0.129:9103,10.140.0.115:9103,133834
10.140.0.105:9103,10.140.0.114:9103,134243
10.140.0.104:9103,10.140.0.118:9103,134352
10.140.0.130:9103,10.140.0.113:9103,134448
10.140.0.129:9103,10.140.0.113:9103,134722
10.140.0.101:9103,10.140.0.117:9103,135274
10.140.0.130:9103,10.140.0.117:9103,135751
10.140.0.130:9103,10.140.0.111:9103,136068
10.140.0.122:9103,10.140.0.117:9103,136907
10.140.0.130:9103,10.140.0.112:9103,137518
10.140.0.105:9103,10.140.0.120:9103,138517
10.140.0.109:9103,10.140.0.118:9103,138904
10.140.0.124:9103,10.140.0.118:9103,139592
10.140.0.128:9103,10.140.0.114:9103,141192
10.140.0.103:9103,10.140.0.120:9103,142626
10.140.0.107:9103,10.140.0.113:9103,143733
10.140.0.106:9103,10.140.0.111:9103,144700
10.140.0.127:9103,10.140.0.111:9103,144743
10.140.0.107:9103,10.140.0.119:9103,145007
10.140.0.118:9103,10.140.0.124:9103,145652
10.140.0.114:9103,10.140.0.118:9103,145720
10.140.0.106:9103,10.140.0.112:9103,146575
10.140.0.122:9103,10.140.0.115:9103,149066
10.140.0.128:9103,10.140.0.112:9103,149721
10.140.0.123:9103,10.140.0.112:9103,155268
10.140.0.104:9103,10.140.0.116:9103,158326
10.140.0.107:9103,10.140.0.112:9103,163475
10.140.0.128:9103,10.140.0.115:9103,165004
10.140.0.105:9103,10.140.0.117:9103,166660
10.140.0.114:9103,10.140.0.117:9103,166876
10.140.0.121:9103,10.140.0.112:9103,276402
10.140.0.115:9103,10.140.0.105:9103,396629
10.140.0.113:9103,10.140.0.101:9103,985155
10.140.0.112:9103,10.140.0.123:9103,1010019
10.140.0.105:9103,10.140.0.115:9103,1668282
10.140.0.112:9103,10.140.0.102:9103,1768870
10.140.0.117:9103,10.140.0.101:9103,2010441
10.140.0.112:9103,10.140.0.129:9103,2998552
10.140.0.113:9103,10.140.0.107:9103,3002833
10.140.0.115:9103,10.140.0.108:9103,3038097
10.140.0.116:9103,10.140.0.102:9103,3058990
10.140.0.112:9103,10.140.0.107:9103,3060097
10.140.0.115:9103,10.140.0.106:9103,3071380
10.140.0.120:9103,10.140.0.119:9103,3071528
10.140.0.115:9103,10.140.0.126:9103,3076774
10.140.0.119:9103,10.140.0.121:9103,3078866
10.140.0.119:9103,10.140.0.103:9103,3079898
10.140.0.120:9103,10.140.0.112:9103,3083589
10.140.0.120:9103,10.140.0.117:9103,3084797
10.140.0.114:9103,10.140.0.108:9103,3086785
10.140.0.112:9103,10.140.0.103:9103,3087967
10.140.0.116:9103,10.140.0.114:9103,3088014
10.140.0.114:9103,10.140.0.103:9103,3097003
10.140.0.118:9103,10.140.0.120:9103,3099443
10.140.0.116:9103,10.140.0.118:9103,3099492
10.140.0.117:9103,10.140.0.106:9103,3107788
10.140.0.111:9103,10.140.0.119:9103,3108151
10.140.0.111:9103,10.140.0.115:9103,3120026
10.140.0.118:9103,10.140.0.129:9103,3120155
10.140.0.112:9103,10.140.0.119:9103,3120418
10.140.0.120:9103,10.140.0.128:9103,3125313
10.140.0.115:9103,10.140.0.113:9103,3127337
10.140.0.113:9103,10.140.0.106:9103,3135063
10.140.0.114:9103,10.140.0.123:9103,3136188
10.140.0.117:9103,10.140.0.114:9103,3138010
10.140.0.111:9103,10.140.0.121:9103,3138430
10.140.0.118:9103,10.140.0.112:9103,3139131
10.140.0.115:9103,10.140.0.101:9103,3139295
10.140.0.116:9103,10.140.0.123:9103,3139640
10.140.0.119:9103,10.140.0.105:9103,3139818
10.140.0.119:9103,10.140.0.130:9103,3141152
10.140.0.116:9103,10.140.0.125:9103,3143445
10.140.0.117:9103,10.140.0.115:9103,3144101
10.140.0.119:9103,10.140.0.125:9103,3144565
10.140.0.117:9103,10.140.0.130:9103,3145648
10.140.0.114:9103,10.140.0.125:9103,3147484
10.140.0.114:9103,10.140.0.128:9103,3150262
10.140.0.111:9103,10.140.0.105:9103,3151507
10.140.0.112:9103,10.140.0.128:9103,3151814
10.140.0.120:9103,10.140.0.129:9103,3151825
10.140.0.119:9103,10.140.0.118:9103,3152194
10.140.0.112:9103,10.140.0.116:9103,3152305
10.140.0.118:9103,10.140.0.123:9103,3152894
10.140.0.117:9103,10.140.0.116:9103,3153211
10.140.0.112:9103,10.140.0.114:9103,3153998
10.140.0.119:9103,10.140.0.116:9103,3155033
10.140.0.120:9103,10.140.0.104:9103,3155346
10.140.0.113:9103,10.140.0.116:9103,3156101
10.140.0.119:9103,10.140.0.106:9103,3156362
10.140.0.115:9103,10.140.0.123:9103,3156573
10.140.0.119:9103,10.140.0.115:9103,3159134
10.140.0.113:9103,10.140.0.111:9103,3160880
10.140.0.116:9103,10.140.0.120:9103,3161358
10.140.0.120:9103,10.140.0.124:9103,3161604
10.140.0.112:9103,10.140.0.105:9103,3161953
10.140.0.111:9103,10.140.0.114:9103,3162320
10.140.0.116:9103,10.140.0.108:9103,3162480
10.140.0.115:9103,10.140.0.116:9103,3162965
10.140.0.117:9103,10.140.0.107:9103,3164844
10.140.0.111:9103,10.140.0.130:9103,3167577
10.140.0.117:9103,10.140.0.128:9103,3167677
10.140.0.119:9103,10.140.0.124:9103,3167960
10.140.0.118:9103,10.140.0.127:9103,3169050
10.140.0.116:9103,10.140.0.121:9103,3169446
10.140.0.111:9103,10.140.0.103:9103,3172077
10.140.0.115:9103,10.140.0.122:9103,3174480
10.140.0.119:9103,10.140.0.113:9103,3175190
10.140.0.119:9103,10.140.0.127:9103,3175254
10.140.0.112:9103,10.140.0.121:9103,3177473
10.140.0.114:9103,10.140.0.106:9103,3179130
10.140.0.115:9103,10.140.0.102:9103,3179778
10.140.0.118:9103,10.140.0.122:9103,3180300
10.140.0.112:9103,10.140.0.118:9103,3182789
10.140.0.111:9103,10.140.0.122:9103,3183549
10.140.0.114:9103,10.140.0.112:9103,3185378
10.140.0.112:9103,10.140.0.124:9103,3185982
10.140.0.114:9103,10.140.0.121:9103,3186691
10.140.0.114:9103,10.140.0.124:9103,3188190
10.140.0.114:9103,10.140.0.105:9103,3188586
10.140.0.119:9103,10.140.0.109:9103,3188641
10.140.0.113:9103,10.140.0.123:9103,3188808
10.140.0.115:9103,10.140.0.114:9103,3189979
10.140.0.114:9103,10.140.0.126:9103,3192320
10.140.0.119:9103,10.140.0.101:9103,3193602
10.140.0.113:9103,10.140.0.128:9103,3194775
10.140.0.113:9103,10.140.0.108:9103,3197583
10.140.0.115:9103,10.140.0.104:9103,3197841
10.140.0.114:9103,10.140.0.115:9103,3199870
10.140.0.117:9103,10.140.0.119:9103,3200073
10.140.0.115:9103,10.140.0.112:9103,3201643
10.140.0.113:9103,10.140.0.129:9103,3203361
10.140.0.119:9103,10.140.0.111:9103,3204537
10.140.0.113:9103,10.140.0.122:9103,3205270
10.140.0.111:9103,10.140.0.104:9103,3205400
10.140.0.115:9103,10.140.0.107:9103,3207414
10.140.0.115:9103,10.140.0.130:9103,3208316
10.140.0.113:9103,10.140.0.105:9103,3208420
10.140.0.120:9103,10.140.0.123:9103,3209764
10.140.0.115:9103,10.140.0.111:9103,3210487
10.140.0.118:9103,10.140.0.117:9103,3212277
10.140.0.117:9103,10.140.0.111:9103,3212504
10.140.0.120:9103,10.140.0.127:9103,3214447
10.140.0.117:9103,10.140.0.123:9103,3216058
10.140.0.117:9103,10.140.0.122:9103,3216143
10.140.0.113:9103,10.140.0.104:9103,3217763
10.140.0.120:9103,10.140.0.106:9103,3217899
10.140.0.111:9103,10.140.0.116:9103,3217994
10.140.0.112:9103,10.140.0.108:9103,3218071
10.140.0.113:9103,10.140.0.118:9103,3218814
10.140.0.113:9103,10.140.0.124:9103,3218916
10.140.0.116:9103,10.140.0.126:9103,3221809
10.140.0.117:9103,10.140.0.108:9103,3222945
10.140.0.115:9103,10.140.0.127:9103,3223328
10.140.0.111:9103,10.140.0.106:9103,3223810
10.140.0.118:9103,10.140.0.103:9103,3227048
10.140.0.116:9103,10.140.0.117:9103,3227554
10.140.0.115:9103,10.140.0.128:9103,3229234
10.140.0.119:9103,10.140.0.102:9103,3233867
10.140.0.116:9103,10.140.0.112:9103,3234379
10.140.0.111:9103,10.140.0.123:9103,3235514
10.140.0.114:9103,10.140.0.109:9103,3236801
10.140.0.119:9103,10.140.0.112:9103,3240105
10.140.0.118:9103,10.140.0.113:9103,3246501
10.140.0.112:9103,10.140.0.109:9103,3247607
10.140.0.114:9103,10.140.0.116:9103,3247636
10.140.0.120:9103,10.140.0.107:9103,3249325
10.140.0.117:9103,10.140.0.109:9103,3250944
10.140.0.112:9103,10.140.0.104:9103,3252553
10.140.0.111:9103,10.140.0.124:9103,3256494
10.140.0.113:9103,10.140.0.126:9103,3258415
10.140.0.118:9103,10.140.0.126:9103,3259953
10.140.0.117:9103,10.140.0.129:9103,3260636
10.140.0.120:9103,10.140.0.108:9103,3260730
10.140.0.120:9103,10.140.0.105:9103,3260869
10.140.0.118:9103,10.140.0.106:9103,3261577
10.140.0.111:9103,10.140.0.108:9103,3261848
10.140.0.117:9103,10.140.0.121:9103,3265220
10.140.0.112:9103,10.140.0.122:9103,3268493
10.140.0.111:9103,10.140.0.129:9103,3270238
10.140.0.120:9103,10.140.0.103:9103,3271298
10.140.0.113:9103,10.140.0.130:9103,3271883
10.140.0.116:9103,10.140.0.101:9103,3272428
10.140.0.111:9103,10.140.0.127:9103,3273041
10.140.0.116:9103,10.140.0.105:9103,3276961
10.140.0.117:9103,10.140.0.118:9103,3277169
10.140.0.117:9103,10.140.0.103:9103,3280196
10.140.0.113:9103,10.140.0.125:9103,3280506
10.140.0.116:9103,10.140.0.122:9103,3280910
10.140.0.116:9103,10.140.0.107:9103,3284145
10.140.0.118:9103,10.140.0.121:9103,3289006
10.140.0.120:9103,10.140.0.122:9103,3289387
10.140.0.118:9103,10.140.0.107:9103,3289918
10.140.0.120:9103,10.140.0.130:9103,3291347
10.140.0.114:9103,10.140.0.101:9103,3291920
10.140.0.114:9103,10.140.0.127:9103,3296420
10.140.0.117:9103,10.140.0.125:9103,3296508
10.140.0.115:9103,10.140.0.117:9103,3296600
10.140.0.117:9103,10.140.0.102:9103,3303141
10.140.0.120:9103,10.140.0.101:9103,3306463
10.140.0.111:9103,10.140.0.126:9103,3307681
10.140.0.112:9103,10.140.0.106:9103,3310056
10.140.0.115:9103,10.140.0.119:9103,3312460
10.140.0.118:9103,10.140.0.101:9103,3313550
10.140.0.115:9103,10.140.0.120:9103,3314495
10.140.0.116:9103,10.140.0.104:9103,3315103
10.140.0.111:9103,10.140.0.118:9103,3316877
10.140.0.111:9103,10.140.0.113:9103,3321529
10.140.0.114:9103,10.140.0.111:9103,3322997
10.140.0.117:9103,10.140.0.124:9103,3323076
10.140.0.115:9103,10.140.0.103:9103,3324600
10.140.0.118:9103,10.140.0.111:9103,3326456
10.140.0.118:9103,10.140.0.108:9103,3326730
10.140.0.115:9103,10.140.0.118:9103,3329582
10.140.0.119:9103,10.140.0.104:9103,3329816
10.140.0.120:9103,10.140.0.121:9103,3332898
10.140.0.115:9103,10.140.0.109:9103,3333414
10.140.0.111:9103,10.140.0.117:9103,3334424
10.140.0.119:9103,10.140.0.122:9103,3340502
10.140.0.117:9103,10.140.0.113:9103,3341745
10.140.0.118:9103,10.140.0.105:9103,3345751
10.140.0.116:9103,10.140.0.111:9103,3347609
10.140.0.115:9103,10.140.0.124:9103,3347681
10.140.0.119:9103,10.140.0.123:9103,3349067
10.140.0.116:9103,10.140.0.106:9103,3359955
10.140.0.113:9103,10.140.0.102:9103,3360020
10.140.0.116:9103,10.140.0.130:9103,3362124
10.140.0.120:9103,10.140.0.109:9103,3364976
10.140.0.118:9103,10.140.0.114:9103,3365073
10.140.0.114:9103,10.140.0.102:9103,3367376
10.140.0.118:9103,10.140.0.115:9103,3369023
10.140.0.112:9103,10.140.0.130:9103,3377293
10.140.0.112:9103,10.140.0.101:9103,3383665
10.140.0.112:9103,10.140.0.120:9103,3383779
10.140.0.114:9103,10.140.0.119:9103,3393280
10.140.0.112:9103,10.140.0.127:9103,3393360
10.140.0.118:9103,10.140.0.128:9103,3404323
10.140.0.119:9103,10.140.0.126:9103,3404481
10.140.0.115:9103,10.140.0.125:9103,3418177
10.140.0.116:9103,10.140.0.103:9103,3424074
10.140.0.111:9103,10.140.0.112:9103,3426122
10.140.0.112:9103,10.140.0.126:9103,3441290
10.140.0.113:9103,10.140.0.114:9103,3441916
10.140.0.118:9103,10.140.0.109:9103,3444543
10.140.0.117:9103,10.140.0.104:9103,3451894
10.140.0.113:9103,10.140.0.109:9103,3454609
10.140.0.116:9103,10.140.0.115:9103,3455487
10.140.0.120:9103,10.140.0.114:9103,3478226
10.140.0.117:9103,10.140.0.112:9103,3486105
10.140.0.112:9103,10.140.0.125:9103,3488090
10.140.0.112:9103,10.140.0.113:9103,3490572
10.140.0.114:9103,10.140.0.120:9103,3497302
10.140.0.111:9103,10.140.0.125:9103,3505184
10.140.0.114:9103,10.140.0.104:9103,3511127
10.140.0.120:9103,10.140.0.126:9103,3514024
10.140.0.120:9103,10.140.0.116:9103,3528517
10.140.0.111:9103,10.140.0.109:9103,3530467
10.140.0.114:9103,10.140.0.113:9103,3532609
10.140.0.118:9103,10.140.0.116:9103,3533384
10.140.0.113:9103,10.140.0.103:9103,3536045
10.140.0.119:9103,10.140.0.114:9103,3572173
10.140.0.113:9103,10.140.0.119:9103,3578392
10.140.0.112:9103,10.140.0.115:9103,3579518
10.140.0.115:9103,10.140.0.121:9103,3581007
10.140.0.112:9103,10.140.0.111:9103,3606412
10.140.0.113:9103,10.140.0.115:9103,3654378
10.140.0.119:9103,10.140.0.129:9103,3660466
10.140.0.118:9103,10.140.0.104:9103,3673182
10.140.0.118:9103,10.140.0.125:9103,3686594
10.140.0.116:9103,10.140.0.124:9103,3689469
10.140.0.117:9103,10.140.0.105:9103,3697198
10.140.0.115:9103,10.140.0.129:9103,3701409
10.140.0.118:9103,10.140.0.130:9103,3725861
10.140.0.119:9103,10.140.0.108:9103,3728823
10.140.0.116:9103,10.140.0.113:9103,3735602
10.140.0.116:9103,10.140.0.127:9103,3790614
10.140.0.117:9103,10.140.0.120:9103,3794585
10.140.0.119:9103,10.140.0.120:9103,3795644
10.140.0.116:9103,10.140.0.119:9103,3810878
10.140.0.111:9103,10.140.0.107:9103,3842632
10.140.0.118:9103,10.140.0.119:9103,3883225
10.140.0.116:9103,10.140.0.109:9103,3902574
10.140.0.114:9103,10.140.0.107:9103,3943211
10.140.0.119:9103,10.140.0.107:9103,3945065
10.140.0.114:9103,10.140.0.130:9103,3949530
10.140.0.119:9103,10.140.0.128:9103,3953082
10.140.0.111:9103,10.140.0.102:9103,3981868
10.140.0.112:9103,10.140.0.117:9103,4011474
10.140.0.117:9103,10.140.0.126:9103,4022006
10.140.0.120:9103,10.140.0.118:9103,4073544
10.140.0.117:9103,10.140.0.127:9103,4093301
10.140.0.111:9103,10.140.0.128:9103,4129546
10.140.0.116:9103,10.140.0.128:9103,4335076
10.140.0.119:9103,10.140.0.117:9103,4592575
10.140.0.118:9103,10.140.0.102:9103,4737790
